lad24cd,reporting_year,households_on_register,jointly_managed_register,reasonable_preference,source
E06000036,2020,1332,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2020"
E06000036,2021,1347,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2021"
E06000036,2022,1690,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2022"
E06000036,2023,1869,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2023"
E06000036,2024,1783,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2024"
E06000036,2025,1479,,,"MHCLG LAHS Section C, year ending 31 March 2025"
E08000032,2015,8707,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2015"
E08000032,2016,11385,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2016"
E08000032,2017,12863,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2017"
E08000032,2018,11826,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2018"
E08000032,2019,15356,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2019"
E08000032,2020,17215,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2020"
E08000032,2021,14420,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2021"
E08000032,2022,20950,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2022"
E08000032,2023,17285,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2023"
E08000032,2024,22559,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2024"
E08000032,2025,18357,,,"MHCLG LAHS Section C, year ending 31 March 2025"
E07000067,2015,2305,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2015"
E07000067,2016,2276,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2016"
E07000067,2017,2466,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2017"
E07000067,2018,2749,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2018"
E07000067,2019,1745,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2019"
E07000067,2020,1834,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2020"
E07000067,2021,2464,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2021"
E07000067,2022,2460,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2022"
E07000067,2023,2440,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2023"
E07000067,2024,2680,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2024"
E07000067,2025,3428,,,"MHCLG LAHS Section C, year ending 31 March 2025"
E07000143,2015,2324,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2015"
E07000143,2016,3398,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2016"
E07000143,2017,2184,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2017"
E07000143,2018,858,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2018"
E07000143,2019,1158,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2019"
E07000143,2020,662,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2020"
E07000143,2021,861,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2021"
E07000143,2022,1218,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2022"
E07000143,2023,1411,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2023"
E07000143,2024,1456,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2024"
E07000143,2025,1089,,,"MHCLG LAHS Section C, year ending 31 March 2025"
E09000005,2015,3737,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2015"
E09000005,2016,3630,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2016"
E09000005,2017,3274,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2017"
